budget_total;Value;data
321;IMP_display_hienz_budget;14.9755996812154
322;IMP_display_hienz_budget;14.9901736492222
323;IMP_display_hienz_budget;15.0047493092813
324;IMP_display_hienz_budget;15.0192557130144
325;IMP_display_hienz_budget;15.033715233796
326;IMP_display_hienz_budget;15.0480052515928
327;IMP_display_hienz_budget;15.0617497244438
328;IMP_display_hienz_budget;15.0546624753068
329;IMP_display_hienz_budget;15.0379634647165
330;IMP_display_hienz_budget;15.0214533704708
331;IMP_display_hienz_budget;15.0047738066919
332;IMP_display_hienz_budget;14.9883651148641
333;IMP_display_hienz_budget;14.9719664236033
334;IMP_display_hienz_budget;14.9558979323793
335;IMP_display_hienz_budget;14.939076423613
336;IMP_display_hienz_budget;14.923501973081
337;IMP_display_hienz_budget;14.9075262966474
338;IMP_display_hienz_budget;14.8916489051052
339;IMP_display_hienz_budget;14.8758762414102
340;IMP_display_hienz_budget;14.8601907767173
341;IMP_display_hienz_budget;14.8417081993264
342;IMP_display_hienz_budget;14.8290210059347
343;IMP_display_hienz_budget;14.8137004808768
344;IMP_display_hienz_budget;14.7983586453488
345;IMP_display_hienz_budget;14.7897376110798
346;IMP_display_hienz_budget;14.7676467835358
347;IMP_display_hienz_budget;14.7529127429064
348;IMP_display_hienz_budget;14.7379741254644
349;IMP_display_hienz_budget;14.7231234977236
350;IMP_display_hienz_budget;14.7082945044536
351;IMP_display_hienz_budget;14.6935115456834
352;IMP_display_hienz_budget;14.6789071988636
353;IMP_display_hienz_budget;14.6643640747252
354;IMP_display_hienz_budget;14.6498946045198
355;IMP_display_hienz_budget;14.6355115239437
356;IMP_display_hienz_budget;14.6212199044944
357;IMP_display_hienz_budget;14.6069824621849
358;IMP_display_hienz_budget;14.5900065646534
359;IMP_display_hienz_budget;14.5787730589019
360;IMP_display_hienz_budget;14.5648086111111
361;IMP_display_hienz_budget;14.550870299169
362;IMP_display_hienz_budget;14.5394145943243
363;IMP_display_hienz_budget;14.5234002896563
364;IMP_display_hienz_budget;14.4933250604396
365;IMP_display_hienz_budget;14.4959852821918
366;IMP_display_hienz_budget;14.4813956805204
367;IMP_display_hienz_budget;14.468994
368;IMP_display_hienz_budget;14.4603097476756
369;IMP_display_hienz_budget;14.442294739446
370;IMP_display_hienz_budget;14.429103745556
371;IMP_display_hienz_budget;14.4158588898764
372;IMP_display_hienz_budget;14.4027822715054
373;IMP_display_hienz_budget;14.3895867961297
374;IMP_display_hienz_budget;14.3767914041277
375;IMP_display_hienz_budget;14.3639146426667
376;IMP_display_hienz_budget;14.3511753537234
377;IMP_display_hienz_budget;14.338326638877
378;IMP_display_hienz_budget;14.3257345789861
379;IMP_display_hienz_budget;14.3130039848234
380;IMP_display_hienz_budget;14.3004657124052
381;IMP_display_hienz_budget;14.2879480888638
382;IMP_display_hienz_budget;14.2754411492147
383;IMP_display_hienz_budget;14.2631969082438
384;IMP_display_hienz_budget;14.2509068337045
385;IMP_display_hienz_budget;14.2386789065448
386;IMP_display_hienz_budget;14.2254143383711
387;IMP_display_hienz_budget;14.2144108217054
388;IMP_display_hienz_budget;14.2023588247423
389;IMP_display_hienz_budget;14.1902975655527
390;IMP_display_hienz_budget;14.1784688073288
391;IMP_display_hienz_budget;14.1628025831202
392;IMP_display_hienz_budget;14.1514355947488
393;IMP_display_hienz_budget;14.1377747608143
394;IMP_display_hienz_budget;14.1289916058818
395;IMP_display_hienz_budget;14.1176880101266
396;IMP_display_hienz_budget;14.1036443582297
397;IMP_display_hienz_budget;14.0955461830487
398;IMP_display_hienz_budget;14.084311201005
399;IMP_display_hienz_budget;14.0776137669173
400;IMP_display_hienz_budget;14.0663615353517
401;IMP_display_hienz_budget;14.0562185760598
402;IMP_display_hienz_budget;14.0529497640312
403;IMP_display_hienz_budget;14.0289381488834
404;IMP_display_hienz_budget;14.0336846958919
405;IMP_display_hienz_budget;14.0161819089881
406;IMP_display_hienz_budget;13.9950440366011
407;IMP_display_hienz_budget;13.9848493141527
408;IMP_display_hienz_budget;13.9726449723341
409;IMP_display_hienz_budget;13.9617161711491
410;IMP_display_hienz_budget;13.9534052512195
411;IMP_display_hienz_budget;13.917823270073
412;IMP_display_hienz_budget;13.9210375124738
413;IMP_display_hienz_budget;13.9211853950102
414;IMP_display_hienz_budget;13.9075912073935
415;IMP_display_hienz_budget;13.9009753662651
416;IMP_display_hienz_budget;13.8889628509615
417;IMP_display_hienz_budget;13.8727102973621
418;IMP_display_hienz_budget;13.8612121435407
419;IMP_display_hienz_budget;13.8576892789055
420;IMP_display_hienz_budget;13.8415917220877
421;IMP_display_hienz_budget;13.8371292867536
422;IMP_display_hienz_budget;13.8256032965362
423;IMP_display_hienz_budget;13.819650277653
424;IMP_display_hienz_budget;13.8124797139711
425;IMP_display_hienz_budget;13.7981156567952
426;IMP_display_hienz_budget;13.787684362797
427;IMP_display_hienz_budget;13.7767899425033
428;IMP_display_hienz_budget;13.7635608006733
429;IMP_display_hienz_budget;13.7550891724942
430;IMP_display_hienz_budget;13.7472556222967
431;IMP_display_hienz_budget;13.7371955690829
432;IMP_display_hienz_budget;13.7208583021964
433;IMP_display_hienz_budget;13.7164365948006
434;IMP_display_hienz_budget;13.7043267465438
435;IMP_display_hienz_budget;13.6976229872462
436;IMP_display_hienz_budget;13.6875801382426
437;IMP_display_hienz_budget;13.6786834892923
438;IMP_display_hienz_budget;13.6667147426332
439;IMP_display_hienz_budget;13.6640945236067
440;IMP_display_hienz_budget;13.6509884896681
441;IMP_display_hienz_budget;13.6419292595336
442;IMP_display_hienz_budget;13.6310598273338
443;IMP_display_hienz_budget;13.6220752134196
444;IMP_display_hienz_budget;13.6199460420743
445;IMP_display_hienz_budget;13.6024313201592
446;IMP_display_hienz_budget;13.5930191897773
447;IMP_display_hienz_budget;13.5852418647504
448;IMP_display_hienz_budget;13.5755928740909
449;IMP_display_hienz_budget;13.5708088969456
450;IMP_display_hienz_budget;13.5612543564596
451;IMP_display_hienz_budget;13.5543007155852
452;IMP_display_hienz_budget;13.5458774010419
453;IMP_display_hienz_budget;13.537100815466
454;IMP_display_hienz_budget;13.5301347590178
455;IMP_display_hienz_budget;13.5162346813187
456;IMP_display_hienz_budget;13.507563788585
457;IMP_display_hienz_budget;13.507785923118
458;IMP_display_hienz_budget;13.4834233042049
459;IMP_display_hienz_budget;13.4829297939096
460;IMP_display_hienz_budget;13.4722039800181
461;IMP_display_hienz_budget;13.4646787391122
