 budget_total ;Audio_TOTAL_Clicks;DD_TOTAL_Impressions;OLV_TOTAL_Clicks;OTT_TOTAL_Impressions;PDM_TOTAL_Impressions;POLV_TOTAL_Clicks;Partnership_TOTAL_Impressions;YT_DD_TOTAL_Clicks;YT_OLV_TOTAL_Impressions;Primary_Search_Impressions;Secondary_Search_Impressions;DOOH_TOTAL_Impressions;Social_TOTAL_Impressions;Facebook_Impressions;profit
 0.54000000000 ;5.18807670236811E-07;13.5220575071695;1.95870491616795E-07;2.3080655312325E-07;1.01899711914489E-06;6.07101292502475E-09;3.97917833187401E-07;9.1799372814859;6.23487266041518E-07;6.31868288945283E-07;9.14526865566575E-07;1.33036825326787E-07;13.4713114516226;17.826689088332;14012.5787171106
 0.55000000000 ;3.28480174557208E-07;13.7827967610153;4.81632275869615E-07;8.59303592268367E-08;7.93028484827934E-07;2.33567805403767E-07;2.21750312399971E-07;9.24025232714963;4.32569123400864E-07;4.4020939280522E-07;6.90839821314976E-07;4.23953548510655E-11;13.6740925322043;18.3028546715806;14183.0589886886
 0.56000000000 ;1.77710710592586E-07;14.0435584898479;2.05616206227509E-07;2.43538865434451E-07;5.73254451472962E-07;6.53048008031806E-09;8.38077957367331E-08;9.30048686420503;6.55763134264303E-07;6.70363152497253E-07;4.87975169973031E-07;1.38416335041851E-07;13.8768832591537;18.7790681438171;14352.573922486
 0.57000000000 ;1.60346116656929E-07;14.304342245825;2.41167923497177E-07;2.78188819458002E-07;5.61246266067899E-07;3.09482679516021E-08;6.58364328186677E-08;9.36064063123485;7.2315508274939E-07;7.30015686893048E-07;4.74403848733468E-07;1.69758081248221E-07;14.07968353557;19.2553301523036;14521.1288254883
 0.58000000000 ;3.77487148740283E-07;14.5651479072316;4.45564996567325E-07;9.94753054896672E-08;8.72614969711791E-07;1.91300227136093E-07;2.59994521408306E-07;9.42071367780951;4.80227783815916E-07;4.88590518903155E-07;7.67890595310253E-07;6.03387254142943E-09;14.2824934053421;19.7316410204368;14688.7290874135
 0.59000000000 ;3.26819669126912E-07;14.8259758147202;4.3261352123393E-07;1.33507935387593E-08;1.14923862733386E-06;1.76652611026042E-07;5.21001015075498E-07;9.48070583024145;4.67290446042754E-07;7.6610871842694E-07;1.21800620935428E-06;2.68376602971893E-07;14.4853127101927;20.2080003053874;14855.3799734187
 0.60000000000 ;6.05052306349543E-07;15.0868262928023;2.22707001838004E-07;2.64196523852774E-07;1.21968314177356E-06;2.60879518447797E-09;4.60656384257509E-07;9.5406174442253;7.23321594010234E-07;6.94515967933471E-07;1.08876574005074E-06;2.00159854199733E-08;14.6881421643946;20.6844087970549;15021.0869799926
 0.61000000000 ;6.83346539655842E-07;15.3476989467308;2.74222091041365E-07;3.17770235892537E-07;0.0000013453125843072;4.04027461460854E-08;5.28554925633805E-07;9.60044808989056;8.18740511044167E-07;8.29623464693588E-07;1.20399379666722E-06;1.9622625732039E-07;14.8909815335783;21.1608651916072;15185.8550930196
 0.62000000000 ;3.41800424118086E-07;15.6085943668903;1.5472104134364E-08;4.05227569010905E-07;1.03166926347133E-06;1.04136593670977E-07;2.29806364443153E-07;9.66019800998235;9.53728334198072E-07;9.64070690930097E-07;7.62105317542805E-07;2.72442737327948E-07;15.0938314237077;21.6373711189611;15349.6898433162
 0.63000000000 ;6.53699242662193E-07;15.8695115482612;2.38457041720927E-07;2.8297953381098E-07;1.33481138675285E-06;3.10809848735065E-09;4.96151178324941E-07;9.71986707237611;7.92900311203207E-07;8.0407454464352E-07;1.18840840994439E-06;1.6023482429905E-07;15.2966908792542;22.1139245452839;15512.5960839082
 0.64000000000 ;6.69353602672586E-07;16.1304514490029;2.43037799416229E-07;1.6900908606916E-07;1.37332613565102E-06;2.05625256222945E-09;5.0730319849376E-07;9.77945528749404;7.03948155447715E-07;7.4838010166363E-07;1.22126181383281E-06;3.01460758278066E-08;15.4995609499928;22.5905266456881;15674.5792326486
