;IMP_display_hienz_budget;IMP_olv_hienz_budget;IMP_agents_budget;IMP_social_hienz_budget;TV_hienz_grp;TV_sponsor_hienz_grp;Investment;IMP_display_hienz_budget_ROAS;IMP_olv_hienz_budget_ROAS;IMP_agents_budget_ROAS;IMP_social_hienz_budget_ROAS;TV_hienz_grp_ROAS;TV_sponsor_hienz_grp_ROAS
312;583.3890052;827.1981002;641.7279057;602.8353053;862.3725699;703.8200545;312000000;-20.30549742;101.5990501;8.863952843;-10.58234733;119.1862849;39.91002723
313;583.777442;827.9827867;642.1551862;603.23669;864.5231735;704.1358734;313000000;-21.11127901;100.9913934;8.077593088;-11.38165498;119.2615868;39.06793669
314;584.1626553;828.7622594;642.5789208;603.6347438;866.6704636;704.4485167;314000000;-21.91867237;100.3811297;7.289460395;-12.18262811;119.3352318;38.22425834
315;584.5446718;829.5365529;642.999139;604.0294942;868.8144454;704.7580163;315000000;-22.72766411;99.76827647;6.499569478;-12.98525291;119.4072227;37.37900815
316;584.923518;830.3057017;643.4158699;604.4209687;870.9551238;705.0644038;316000000;-23.53824098;99.15285083;5.707934926;-13.78951567;119.4775619;36.53220191
317;585.2992204;831.0697398;643.8291424;604.8091944;873.092504;705.3677106;317000000;-24.35038981;98.53486989;4.914571211;-14.5954028;119.546252;35.68385528
318;585.6718049;831.8287013;644.2389854;605.1941984;875.226591;705.6679675;318000000;-25.16409756;97.91435063;4.119492682;-15.40290081;119.6132955;34.83398374
319;586.0412974;832.5826198;644.6454271;605.5760073;877.35739;705.9652053;319000000;-25.9793513;97.2913099;3.322713569;-16.21199634;119.678695;33.98260264
320;586.4077236;833.331529;645.048496;605.9546477;879.484906;706.2594543;320000000;-26.7961382;96.66576448;2.524247985;-17.02267613;119.742453;33.12972713
321;586.771109;834.075462;645.4482199;606.3301459;881.6091441;706.5507445;321000000;-27.61444552;96.03773099;1.724109927;-17.83492704;119.8045721;32.27537227
322;587.1314787;834.814452;645.8446265;606.702528;883.7301093;706.8391058;322000000;-28.43426066;95.40722598;0.922313273;-18.64873602;119.8650546;31.41955291
323;587.4888578;835.5485317;646.2377436;607.0718197;885.8478066;707.1245676;323000000;-29.2555711;94.77426586;0.118871787;-19.46409014;119.9239033;30.56228378
