,Audio_TOTAL_Clicks,DD_TOTAL_Impressions,OLV_TOTAL_Clicks,OTT_TOTAL_Impressions,PDM_TOTAL_Impressions,POLV_TOTAL_Clicks,Partnership_TOTAL_Impressions,YT_DD_TOTAL_Clicks,YT_OLV_TOTAL_Impressions,Primary_Search_Impressions,Secondary_Search_Impressions,DOOH_TOTAL_Impressions,Social_TOTAL_Impressions,Facebook_Impressions,Investment,Audio_TOTAL_Clicks_ROAS,DD_TOTAL_Impressions_ROAS,OLV_TOTAL_Clicks_ROAS,OTT_TOTAL_Impressions_ROAS,PDM_TOTAL_Impressions_ROAS,POLV_TOTAL_Clicks_ROAS,Partnership_TOTAL_Impressions_ROAS,YT_DD_TOTAL_Clicks_ROAS,YT_OLV_TOTAL_Impressions_ROAS,Primary_Search_Impressions_ROAS,Secondary_Search_Impressions_ROAS,DOOH_TOTAL_Impressions_ROAS,Social_TOTAL_Impressions_ROAS,Facebook_Impressions_ROAS
217,986.9906688,3424.203023,1187.288987,520.502883,2668.521826,208.6359853,443.0458004,2024.261838,1915.140534,10030.52581,6546.479744,709.8389566,2888.623125,5762.381125,2170000,0.287455347,0.997279406,0.345791078,0.151593466,0.77719161,0.060764029,0.129034537,0.5895546,0.557773648,2.921332864,1.906624515,0.206736507,0.841294846,1.678260309
218,986.9906688,3424.203407,1188.551006,520.502883,2668.579372,209.216784,443.0458004,2024.261838,1915.14251,10055.89287,6551.625885,709.8389566,2888.62715,5762.484271,2180000,0.286136744,0.992704841,0.34457075,0.150898084,0.773643194,0.060653673,0.128442636,0.586850221,0.555215627,2.915286375,1.89937044,0.205788175,0.837436862,1.67059177
219,986.9906688,3424.203769,1189.801259,520.502883,2668.635059,209.7956251,443.0458004,2024.261838,1915.144396,10081.13214,6556.704261,709.8389566,2888.630995,5762.584254,2190000,0.284830184,0.988172047,0.343358171,0.150209051,0.770126647,0.06054376,0.12785614,0.584170539,0.55268094,2.909258226,1.892163056,0.204848503,0.833614059,1.662992351
220,986.9906688,3424.204111,1191.03988,520.502883,2668.688946,210.3725154,443.0458004,2024.261838,1915.146197,10106.24427,6561.715765,709.8389566,2888.634666,5762.681175,2200000,0.283535501,0.983680454,0.342153275,0.149526283,0.766641552,0.060434286,0.127274975,0.581515219,0.550169271,2.903248354,1.885001983,0.203917373,0.829825959,1.655461137
221,986.9906688,3424.204433,1192.267004,520.502883,2668.741093,210.9474612,443.0458004,2024.261838,1915.147915,10131.22989,6566.661276,709.8389566,2888.638172,5762.775126,2210000,0.282252535,0.979229503,0.340955994,0.148849693,0.763187498,0.060325247,0.126699071,0.578883928,0.547680309,2.897256692,1.877886845,0.20299467,0.826072093,1.647997231
222,986.9906688,3424.204738,1193.482761,520.502883,2668.791556,211.5204693,443.0458004,2024.261838,1915.149555,10156.08964,6571.541665,709.8389566,2888.64152,5762.8662,2220000,0.280981127,0.974818646,0.339766263,0.148179199,0.759764082,0.060216638,0.126128354,0.576276343,0.545213747,2.891283177,1.870817267,0.20208028,0.822352,1.640599747
223,986.9906688,3424.205024,1194.687281,520.502883,2668.840388,212.091546,443.0458004,2024.261838,1915.151121,10180.82416,6576.357788,709.8389566,2888.644718,5762.954485,2230000,0.279721122,0.970447343,0.338584019,0.147514718,0.756370908,0.060108456,0.125562756,0.573692144,0.542769286,2.885327743,1.86379288,0.20117409,0.818665229,1.633267818
224,986.9906688,3424.205295,1195.880693,520.502883,2668.887644,212.660698,443.0458004,2024.261838,1915.152615,10205.43407,6581.110492,709.8389566,2888.647772,5763.040068,2240000,0.278472367,0.966115065,0.337409195,0.146856171,0.753007585,0.060000697,0.125002208,0.571131019,0.540346631,2.879390327,1.856813317,0.200275991,0.815011336,1.62600059
225,986.9906688,3424.20555,1197.063122,520.502883,2668.933375,213.2279317,443.0458004,2024.261838,1915.154042,10229.92001,6585.800611,709.8389566,2888.650688,5763.123031,2250000,0.277234712,0.961821292,0.33624173,0.146203476,0.74967373,0.059893357,0.124446643,0.568592658,0.537945491,2.873470865,1.849878216,0.199385876,0.811389882,1.618797225
226,986.9906688,3424.205791,1198.234693,520.502883,2668.977629,213.7932536,443.0458004,2024.261838,1915.155403,10254.2826,6590.428971,709.8389566,2888.653473,5763.203456,2260000,0.27600801,0.957565513,0.33508156,0.145556558,0.746368965,0.059786432,0.123895994,0.566076762,0.535565582,2.867569293,1.842987217,0.198503637,0.80780044,1.611656896
