,Investment,Audio_Clicks,YouTube_DD_Clicks,YouTube_OLV_Impressions,OTT_Impressions,PDM_Impressions,POLV_Clicks,Partnership_Impressions,Facebook_Impressions,Social_Impressions,DD_Impressions,OLV_Clicks,Audio_Clicks_ROAS,YouTube_DD_Clicks_ROAS,YouTube_OLV_Impressions_ROAS,OTT_Impressions_ROAS,PDM_Impressions_ROAS,POLV_Clicks_ROAS,Partnership_Impressions_ROAS,Facebook_Impressions_ROAS,Social_Impressions_ROAS,DD_Impressions_ROAS,OLV_Clicks_ROAS
279,2790000,997.7912483345666,3378.135544009234,2129.39943203219,564.0370223113465,76.1692317502673,62.07987573039807,844.4325710548526,4399.609808616623,1805.573721170468,5413.653804754734,3326.941731320267,0.2260229637804466,0.765226402800658,0.4823585810194781,0.1277675262009932,0.01725410554342973,0.01406253815828372,0.1912836505041817,0.9966141215217583,0.4090045131827009,1.226318711327954,0.7536298115392146
280,2800000,997.7912483345666,3378.13557315593,2129.413642200293,564.0370223113465,76.1692317502673,62.07987573040215,844.4325710548526,4399.610575533094,1805.573721784462,5413.655812814872,3327.491309649,0.2252157389098022,0.7624934579409101,0.4806390792394947,0.1273112136074182,0.01719248373791748,0.01401231480771934,0.1906004946095239,0.9930549584774696,0.4075437829170642,1.2219394548925,0.7510623241779172
281,2810000,997.7912483345666,3378.135600711693,2129.427430932905,564.0370223113465,76.1692317502673,62.07987573040585,844.4325710548526,4399.611309034386,1805.573722357859,5413.65773904969,3328.031888616346,0.2244142594119025,0.7597799642881814,0.4789317211208526,0.12685814879031,0.0171313005217683,0.01396244891872473,0.189922201034401,0.9895211200390505,0.4060934492989917,1.217591349138578,0.7485110866923598
282,2820000,997.7912483345666,3378.135626763361,2129.440810728669,564.0370223113465,76.1692317502673,62.07987573040917,844.4325710548526,4399.612010576427,1805.573722893341,5413.65958679344,3328.563615587113,0.223618464165761,0.7570857149342001,0.4772363802767798,0.126408297198855,0.01707055122913792,0.01391293668851723,0.1892487180520095,0.9860123371220929,0.404653401726451,1.213274063423211,0.7459759592379628
283,2830000,997.7912483345666,3378.135651393036,2129.45379371556,564.0370223113465,76.1692317502673,62.07987573041219,844.4325710548526,4399.612681551707,1805.573723393419,5413.661359244512,3329.086635513006,0.2228282929142919,0.7544105058941338,0.4755529320241109,0.1259616247705905,0.01701023126013037,0.01386377436806378,0.1885799946666667,0.9825283444313354,0.4032235311606505,1.208987271746478,0.7434568034078515
284,2840000,997.7912483345666,3378.135674678334,2129.466391661863,564.0370223113465,76.1692317502673,62.07987573041489,844.4325710548526,4399.613323292047,1805.573723860432,5413.663059470968,3329.601090972143,0.2220436862491007,0.7517541360551785,0.4738812533557386,0.1255180979228067,0.01695033607963695,0.01381495826113458,0.187915980600939,0.9790688803945683,0.4018037300985186,1.204730652671004,0.7409534822163361
285,2850000,997.7912483345666,3378.135696692634,2129.478615986849,564.0370223113465,76.1692317502673,62.07987573041736,844.4325710548526,4399.613937071235,1805.573724296565,5413.664690415844,3330.10712220792,0.2212645855955951,0.7491164071262262,0.472221222913575,0.1250776835441302,0.01689086121619963,0.01376648472337676,0.187256626283041,0.9756336870979019,0.4003938925457646,1.200503889243093,0.7384658600825983
286,2860000,997.7912483345666,3378.135717505316,2129.490477771127,564.0370223113465,76.1692317502673,62.07987573041959,844.4325710548526,4399.614524107563,1805.573724703861,5413.666254902259,3330.604867167246,0.2204909331984077,0.7464971235885872,0.4705727209620114,0.1246403489862836,0.01683180226089823,0.01371835016140741,0.1866018828344989,0.9722225102223705,0.3989939139905037,1.196306668915464,0.7359938028145803
287,2870000,997.7912483345666,3378.135737181965,2129.501987766681,564.0370223113465,76.1692317502673,62.07987573042162,844.4325710548526,4399.615085566237,1805.573725084227,5413.66775563829,3331.094461538139,0.2197226721071241,0.7438960926477358,0.4689356293618614,0.1242060620560178,0.01677315486626095,0.0136705510319256,0.1859517020580721,0.9688350989818334,0.3976036913774325,1.192138683471568,0.7335371775930676
288,2880000,997.7912483345666,3378.135755784591,2129.513156406622,564.0370223113465,76.1692317502673,62.07987573042344,844.4325710548526,4399.615622561699,1805.573725439443,5413.669195221668,3331.576038786729,0.2189597461623077,0.7413131241860631,0.4673098315447865,0.1237747910072122,0.01671491474519755,0.01362308384084292,0.185306036425926,0.9654712060621506,0.3962231230825445,1.187999628951422,0.7310958529559766
289,2890000,997.7912483345666,3378.135773371819,2129.523993814642,564.0370223113465,76.1692317502673,62.07987573042508,844.4325710548526,4399.61613615983,1805.573725771173,5413.670576144267,3332.049730193629,0.2182020999818153,0.7387480307166053,0.4656952124881846,0.1233465045331388,0.01665707766995465,0.01357594514243206,0.1846648390680508,0.962130587561596,0.3948521088883672,1.183889205578954,0.7286696987828283
290,2900000,997.7912483345666,3378.135789999071,2129.534509814192,564.0370223113465,76.1692317502673,62.07987573042657,844.4325710548526,4399.616627380068,1805.573726080969,5413.671900796423,3332.515664889731,0.2174496789473952,0.7362006273377285,0.4640916586905413,0.1229211717588866,0.01659963947109274,0.01352913153849296,0.1840280637609196,0.9588130029324838,0.3934905499597145,1.179807117690807,0.7262585862794173
291,2910000,997.7912483345666,3378.135805718748,2129.544713937385,564.0370223113465,76.1692317502673,62.07987573042791,844.4325710548526,4399.617097197442,1805.57372637028,5413.673171471068,3332.973969891404,0.2167024291915622,0.7336707316887453,0.462499058147226,0.1224987622339419,0.01654259603648417,0.01348263967753623,0.1833956649163803,0.9555182149239805,0.3921383488199371,1.175753073666569,0.7238623879626691
292,2920000,997.7912483345666,3378.135820580388,2129.55461543364,564.0370223113465,76.1692317502673,62.07987573042914,844.4325710548526,4399.617546544489,1805.573726640462,5413.6743903677,3333.424770135118,0.2159602975847418,0.7311581639064401,0.460917300326733,0.1220792459249216,0.01648594331033183,0.0134364662539833,0.1827675975707763,0.9522459895260673,0.3907954093276617,1.171726785860406,0.7214809776456832
293,2930000,997.7912483345666,3378.135834630826,2129.564223278058,564.0370223113465,76.1692317502673,62.07987573043024,844.4325710548526,4399.617976313116,1805.57372689278,5413.675559596197,3333.868188511508,0.2152232317226778,0.7286627465824852,0.4593462761473491,0.1216625932084543,0.01642967729220783,0.01339060800738291,0.182143817374289,0.948996095914638,0.3894616366540058,1.16772797053406,0.7191142304229601
294,2940000,997.7912483345666,3378.135847914339,2129.573546179567,564.0370223113465,76.1692317502673,62.07987573043125,844.4325710548526,4399.618387356371,1805.573727128415,5413.676681180455,3334.30434589887,0.2144911799140973,0.7261843047217217,0.457785877954247,0.1212487748642078,0.01637379403611188,0.01334506172164372,0.1815242805804989,0.945768306397696,0.3881369372602579,1.163756347791173,0.7167620226558116
295,2950000,997.7912483345666,3378.13586047279,2129.582592588809,564.0370223113465,76.1692317502673,62.07987573043214,844.4325710548526,4399.618780490138,1805.573727348469,5413.677757061901,3334.733361196114,0.2137640911686258,0.7237226657012893,0.4562359994969923,0.120837762068058,0.01631828964954879,0.01329982422428241,0.1809089440361582,0.9425623963626331,0.3868212188760111,1.159811641512922,0.7144242319579471
296,2960000,997.7912483345666,3378.135872345756,2129.591370705803,564.0370223113465,76.1692317502673,62.07987573043296,844.4325710548526,4399.619156494745,1805.573727553974,5413.678789102854,3335.155351355176,0.213041915184948,0.7212776592305803,0.4546965359074553,0.1204295263853956,0.01626316029262464,0.01325489238568704,0.1802977651711712,0.9393781442245536,0.3855143904777404,1.155893579294934,0.7121007371812402
297,2970000,997.7912483345666,3378.135883570651,2129.599888487379,564.0370223113465,76.1692317502673,62.0798757304337,844.4325710548526,4399.619516116524,1805.573727745891,5413.67977908975,3335.570431412902,0.2123246023392074,0.7188491173120038,0.4531673836781225,0.1200240397645694,0.01620840217716126,0.01321026311839532,0.1796907019887767,0.9362153313756375,0.3842163622678124,1.152001892385428,0.709791418401668
298,2980000,997.7912483345666,3378.135894182852,2129.608153654388,564.0370223113465,76.1692317502673,62.07987573043437,844.4325710548526,4399.619860069288,1805.573727925118,5413.680728736221,3335.978714522406,0.2116121036736396,0.7164368742025378,0.4516484406407964,0.1196212745304601,0.0161540115658285,0.01316593337638742,0.1790877130559285,0.9330737421355,0.3829270456539176,1.148136315624595,0.707496156905423
299,2990000,997.7912483345666,3378.135904215799,2129.616173698699,564.0370223113465,76.1692317502673,62.07987573043498,844.4325710548526,4399.620189035749,1805.573728092495,5413.681639686079,3336.380311983915,0.2109043708854335,0.7140407663760484,0.4501396059456782,0.1192212033781843,0.01609998477129396,0.01312190015439295,0.1784887574938685,0.9299531637025396,0.3816463532289152,1.144296587385151,0.7052148351751955
300,3000000,997.7912483345666,3378.135913701112,2129.623955889996,564.0370223113465,76.1692317502673,62.07987573043552,844.4325710548526,4399.620503668872,1805.573728248804,5413.682513516152,3336.775333275115,0.2102013563158154,0.7116606324863676,0.4486407800408257,0.1188237993669237,0.01604631815538965,0.01307816048721175,0.1778937949688889,0.9268533861062422,0.3803741987510814,1.140482449514069,0.7029473368766243
301,3010000,997.7912483345666,3378.135922668682,2129.63150728236,564.0370223113465,76.1692317502673,62.07987573043602,844.4325710548526,4399.620804593173,1805.573728394778,5413.683351739008,3337.163886080988,0.2095030129393509,0.7092963133310985,0.4471518646519774,0.1184290359138774,0.01599300812829533,0.01303471144904836,0.177302785683278,0.923774202160427,0.3791104971247508,1.136693647275433,0.7006935468449118
